x0,x1,label
0.658734,2.418634,1.000000
0.611377,1.720026,1.000000
1.099438,3.206013,1.000000
1.361092,4.829104,1.000000
0.876255,2.389184,1.000000
0.690748,5.011891,1.000000
0.701393,3.863155,1.000000
1.253097,4.650538,1.000000
1.057211,3.862135,1.000000
1.241162,1.700000,1.000000
0.840611,4.937659,1.000000
0.519795,2.816374,1.000000
1.235160,3.869624,1.000000
0.584467,1.922548,1.000000
1.418398,1.710000,1.000000
1.370529,3.740063,1.000000
0.966071,4.685020,1.000000
0.748149,4.103231,1.000000
0.533105,2.028217,1.000000
0.813012,4.871033,1.000000
1.380626,5.043905,1.000000
1.038899,5.385811,1.000000
1.174998,4.070992,1.000000
1.482927,3.678969,1.000000
0.795556,4.257588,1.000000
0.550885,1.687598,1.000000
0.597946,3.506649,1.000000
1.219187,3.456902,1.000000
1.422764,3.827562,1.000000
1.265363,1.935044,1.000000
1.139539,2.153101,1.000000
0.668471,3.331001,1.000000
3.841499,2.712392,2.000000
3.265874,3.353799,2.000000
2.419956,2.641744,2.000000
3.131922,2.592680,2.000000
1.919251,3.015192,2.000000
3.653976,2.494605,2.000000
3.214530,1.966662,2.000000
2.781111,2.277463,2.000000
2.402959,2.802239,2.000000
3.182097,2.135258,2.000000
3.198566,3.048673,2.000000
2.505896,2.598232,2.000000
2.983629,2.547538,2.000000
2.700613,2.653876,2.000000
2.507695,2.471939,2.000000
2.878039,2.268676,2.000000
2.568892,2.687723,2.000000
2.693940,3.019875,2.000000
3.527832,3.153919,2.000000
3.203677,2.218877,2.000000
2.777954,2.822901,2.000000
3.783050,2.089020,2.000000
3.304181,3.017798,2.000000
3.977555,2.505972,2.000000
3.263746,2.587482,2.000000
3.045912,3.185275,2.000000
2.879968,1.668478,2.000000
3.233598,2.545167,2.000000
4.229498,2.065403,2.000000
2.379583,1.876676,2.000000
3.162948,2.754962,2.000000
2.428762,2.338170,2.000000
3.541297,2.338670,2.000000
2.638412,2.533631,2.000000
2.783332,2.325860,2.000000
3.186008,2.274951,2.000000
2.027834,2.851225,2.000000
2.191808,2.174140,2.000000
2.681085,2.396655,2.000000
2.987601,2.697320,2.000000
2.783705,2.178922,2.000000
2.726431,2.496669,2.000000
3.236021,2.751028,2.000000
3.104434,2.561753,2.000000
2.393173,3.532294,2.000000
2.597097,1.977501,2.000000
2.878632,2.909410,2.000000
3.326832,2.811118,2.000000
3.196477,2.166446,2.000000
2.653013,2.265335,2.000000
2.855684,2.526266,2.000000
3.032148,2.495063,2.000000
2.700280,2.469205,2.000000
3.716787,1.876565,2.000000
2.514710,3.181043,2.000000
3.024210,2.312406,2.000000
3.157008,2.537848,2.000000
2.756181,2.614829,2.000000
2.742568,2.867741,2.000000
2.592192,2.704054,2.000000
2.626225,2.598176,2.000000
2.508567,1.939792,2.000000
3.099795,2.887828,2.000000
3.283033,3.137479,2.000000
3.237530,1.924833,2.000000
3.104924,1.886308,2.000000
2.502861,2.470116,2.000000
3.619561,2.532584,2.000000
3.154704,2.162704,2.000000
2.889961,2.274144,2.000000
2.669538,2.488717,2.000000
3.391711,2.002519,2.000000
3.041719,2.793216,2.000000
2.948860,2.523832,2.000000
2.974983,2.559658,2.000000
2.851350,3.138343,2.000000
3.041585,2.189100,2.000000
3.278710,3.120111,2.000000
3.154729,2.922001,2.000000
2.993547,2.433338,2.000000
2.452315,2.625794,2.000000
2.833249,3.067828,2.000000
2.972504,2.630939,2.000000
2.882325,2.690261,2.000000
2.810947,2.659502,2.000000
2.286906,2.470892,2.000000
2.895769,3.025914,2.000000
2.395709,2.891312,2.000000
2.873213,3.188846,2.000000
2.678611,2.335079,2.000000
2.767651,2.726053,2.000000
2.288566,2.795940,2.000000
3.375230,2.588055,2.000000
3.366669,3.025123,2.000000
2.849598,2.751661,2.000000
2.636088,2.056805,2.000000
2.938300,2.321199,2.000000
3.080906,2.209603,2.000000
2.404517,2.641618,2.000000
3.248655,2.297291,2.000000
4.100000,5.100000,3.000000
3.900000,4.900000,3.000000
4.000000,5.000000,3.000000
4.100000,5.100000,3.000000
